[Tue Jul 17 11:28:06.910734 2012] [:error] [pid 3012:tid 1252] [client 127.0.0.1:49575] PHP Notice:  Undefined index: hey2 in D:\\Sites\\silex\\web\\index.php on line 44
[Tue Jul 17 11:28:14.950194 2012] [:error] [pid 3012:tid 1252] [client 127.0.0.1:49576] PHP Notice:  Undefined index: hey2 in D:\\Sites\\silex\\web\\index.php on line 44
[Tue Jul 17 11:28:15.470223 2012] [:error] [pid 3012:tid 1252] [client 127.0.0.1:49577] PHP Notice:  Undefined index: hey2 in D:\\Sites\\silex\\web\\index.php on line 44
[Tue Jul 17 14:35:55.786277 2012] [:error] [pid 3012:tid 1252] [client 127.0.0.1:50346] PHP Notice:  Undefined variable: app in D:\\Sites\\silex\\web\\index.php on line 33
[Tue Jul 17 14:36:10.859139 2012] [:error] [pid 3012:tid 1252] [client 127.0.0.1:50347] PHP Parse error:  syntax error, unexpected '$app' (T_VARIABLE), expecting '(' in D:\\Sites\\silex\\web\\index.php on line 32
[Fri Jul 20 12:53:37.007193 2012] [:error] [pid 2092:tid 1164] [client 127.0.0.1:49416] PHP Parse error:  syntax error, unexpected '$app' (T_VARIABLE) in D:\\Sites\\silex\\web\\index.php on line 73
[Fri Jul 20 12:53:37.053993 2012] [:error] [pid 2092:tid 1164] [client 127.0.0.1:49416] PHP Parse error:  syntax error, unexpected '$app' (T_VARIABLE) in D:\\Sites\\silex\\web\\index.php on line 73
[Fri Jul 20 13:03:38.577915 2012] [:error] [pid 2092:tid 1164] [client 127.0.0.1:49545] PHP Parse error:  syntax error, unexpected '$app' (T_VARIABLE) in D:\\Sites\\silex\\web\\index.php on line 73
[Wed Aug 15 22:40:19.766678 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63233] PHP Warning:  require(D:\\Sites\\silex\\web/../config.php): failed to open stream: No such file or directory in D:\\Sites\\silex\\web\\index.php on line 5
[Wed Aug 15 22:40:19.766678 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63233] PHP Fatal error:  require(): Failed opening required 'D:\\Sites\\silex\\web/../config.php' (include_path='.;c:\\PHP5.4\\lib') in D:\\Sites\\silex\\web\\index.php on line 5
[Wed Aug 15 22:40:39.886828 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63241] PHP Fatal error:  Class 'TranslationServiceProvider' not found in D:\\Sites\\silex\\web\\index.php on line 29
[Wed Aug 15 22:41:24.950406 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63246] PHP Fatal error:  Class 'YamlFileLoader' not found in D:\\Sites\\silex\\web\\index.php on line 38
[Wed Aug 15 22:41:25.737451 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63246] PHP Fatal error:  Class 'YamlFileLoader' not found in D:\\Sites\\silex\\web\\index.php on line 38
[Wed Aug 15 23:06:51.674729 2012] [:error] [pid 2568:tid 1144] [client 127.0.0.1:63823] PHP Warning:  require_once(D:\\Sites\\silex\\web): failed to open stream: Permission denied in D:\\Sites\\silex\\src\\functions.php on line 14
